mass,width,unc_gev
100,0,0
110,0,0
120,0,0
130,0,0
140,0.0001035,1.30E-08
150,0.0003663,4.10E-08
160,0.000761,8.40E-08
180,0.001973,2.00E-07
200,0.003787,2.70E-07
220,0.006225,4.30E-07
240,0.00936,6.50E-07
250,0.01121,7.80E-07
260,0.01325,9.20E-07
280,0.01794,1.20E-06
300,0.02351,1.60E-06
320,0.03,2.10E-06
340,0.03748,2.60E-06
360,0.04601,3.20E-06
380,0.05564,3.90E-06
400,0.06644,4.60E-06
450,0.09895,6.90E-06
500,0.1401,9.70E-06
550,0.1908,1.30E-05
600,0.252,1.70E-05
700,0.4099,2.80E-05
800,0.6213,4.30E-05
900,0.894,6.20E-05
1000,1.235,8.60E-05
1100,1.653,0.00011
1200,2.156,0.00015
1300,2.75,0.00019
1400,3.443,0.00024
1500,4.244,0.00029
1600,5.159,0.00036
1700,6.196,0.00043
1800,7.364,0.00051
