mass,width,unc_gev
100,6.605e-08,5e-12
110,1.351e-07,1.6e-12
120,2.234e-07,2.6e-12
130,3.3e-07,3.9e-12
140,4.551e-07,5.4e-12
150,5.994e-07,4.5e-11
160,7.637e-07,9e-12
180,1.157e-06,9.1e-11
200,1.645e-06,1.3e-10
220,2.238e-06,2.6e-11
240,2.947e-06,2.2e-10
250,3.348e-06,3.9e-11
260,3.781e-06,4.5e-11
280,4.753e-06,3.5e-10
300,5.872e-06,4.5e-10
320,7.15e-06,8.4e-11
340,8.597e-06,6.1e-10
360,1.022e-05,1.2e-10
380,1.204e-05,1.4e-10
400,1.406e-05,1.1e-09
450,2.005e-05,2.4e-10
500,2.753e-05,2.1e-09
550,3.666e-05,4.3e-10
600,4.762e-05,5.6e-10
700,7.565e-05,8.9e-10
800,0.0001129,8.6e-09
900,0.0001608,1.9e-09
1000,0.0002206,1.7e-08
1100,0.0002937,3.5e-09
1200,0.0003813,4.5e-09
1300,0.0004848,3.5e-08
1400,0.0006055,7.1e-09
1500,0.0007447,8.8e-09
1600,0.0009038,7.1e-08
1700,0.001084,8.6e-08
1800,0.001287,1e-07
