mass,width,unc_gev
100,0.0,0.0
110,1.388e-08,1.7e-12
120,3.37e-08,4.3e-12
130,5.913e-08,5.7e-12
140,8.985e-08,1.1e-11
150,1.258e-07,1.2e-11
160,1.67e-07,1.4e-11
180,2.654e-07,1.8e-11
200,3.868e-07,2.7e-11
220,5.341e-07,3.7e-11
240,7.099e-07,4.9e-11
250,8.093e-07,5.6e-11
260,9.168e-07,6.3e-11
280,1.157e-06,8e-11
300,1.434e-06,9.9e-11
320,1.75e-06,1.2e-10
340,2.108e-06,1.5e-10
360,2.509e-06,1.7e-10
380,2.958e-06,2e-10
400,3.456e-06,2.4e-10
450,4.936e-06,3.4e-10
500,6.782e-06,4.7e-10
550,9.036e-06,6.3e-10
600,1.174e-05,8.1e-10
700,1.865e-05,1.3e-09
800,2.786e-05,1.9e-09
900,3.967e-05,2.7e-09
1000,5.442e-05,3.8e-09
1100,7.244e-05,5e-09
1200,9.405e-05,6.5e-09
1300,0.0001196,8.3e-09
1400,0.0001493,1e-08
1500,0.0001837,1.3e-08
1600,0.0002229,1.5e-08
1700,0.0002674,1.9e-08
1800,0.0003174,2.2e-08
