mass,width,unc_gev
100,0.0,0.0
110,0.0,0.0
120,0.0,0.0
130,1.616e-05,6.2e-10
140,0.0001458,1.9e-08
150,0.0004072,1.5e-08
160,0.0008036,3.1e-08
180,0.00202,7.8e-08
200,0.003839,1.4e-07
220,0.006309,2.1e-07
240,0.009486,3.6e-07
250,0.01136,4.2e-07
260,0.01343,1.4e-07
280,0.01819,6.7e-07
300,0.02383,8.8e-07
320,0.03041,1.1e-06
340,0.03799,5e-06
360,0.04663,6.2e-06
380,0.05639,5.5e-06
400,0.06734,7e-06
450,0.1003,4.1e-06
500,0.142,1.5e-06
550,0.1933,2e-06
600,0.2554,9.3e-06
700,0.4154,6.4e-05
800,0.6297,7.5e-05
900,0.906,3.1e-05
1000,1.252,0.00016
1100,1.676,6.2e-05
1200,2.185,0.0003
1300,2.787,0.0003
1400,3.489,0.00053
1500,4.301,0.00064
1600,5.228,0.00054
1700,6.28,0.00026
1800,7.463,0.0009
