mass,width,unc_gev
100,0.0003253,3.4e-08
110,0.0007365,8.4e-08
120,0.001258,1.2e-07
130,0.001887,2.2e-07
140,0.002626,2.5e-07
150,0.003476,3.1e-07
160,0.004445,3.2e-07
180,0.006739,4.7e-07
200,0.009582,6.6e-07
220,0.01303,9e-07
240,0.01716,1.2e-06
250,0.0195,1.3e-06
260,0.02202,1.5e-06
280,0.02768,1.9e-06
300,0.0342,2.4e-06
320,0.04164,2.9e-06
340,0.05007,3.5e-06
360,0.05954,4.1e-06
380,0.07012,4.9e-06
400,0.08187,5.7e-06
450,0.1168,8.1e-06
500,0.1603,1.1e-05
550,0.2135,1.5e-05
600,0.2773,1.9e-05
700,0.4406,3.1e-05
800,0.6578,4.6e-05
900,0.9367,6.5e-05
1000,1.285,8.9e-05
1100,1.71,0.00012
1200,2.221,0.00015
1300,2.823,0.0002
1400,3.526,0.00024
1500,4.337,0.0003
1600,5.264,0.00036
1700,6.314,0.00044
1800,7.495,0.00052
