mass,width,unc_gev
100,8.339e-09,9.8e-14
110,3.411e-08,4e-13
120,7.335e-08,5.5e-12
130,1.241e-07,1.5e-12
140,1.855e-07,2.6e-12
150,2.574e-07,3e-12
160,3.398e-07,4e-12
180,5.38e-07,4.5e-11
200,7.841e-07,9.2e-12
220,1.083e-06,1.3e-11
240,1.439e-06,1.7e-11
250,1.64e-06,2.4e-11
260,1.858e-06,2.2e-11
280,2.346e-06,1.8e-10
300,2.907e-06,3.4e-11
320,3.548e-06,3e-10
340,4.272e-06,5e-11
360,5.087e-06,6e-11
380,5.996e-06,7.1e-11
400,7.006e-06,5.5e-10
450,1e-05,7.6e-10
500,1.375e-05,1e-09
550,1.831e-05,1.4e-09
600,2.379e-05,2.8e-10
700,3.781e-05,4.5e-10
800,5.646e-05,6.6e-10
900,8.04e-05,9.5e-10
1000,0.0001103,1.3e-09
1100,0.0001468,1.1e-08
1200,0.0001906,2.7e-09
1300,0.0002424,1.8e-08
1400,0.0003027,3.6e-09
1500,0.0003723,4.4e-09
1600,0.0004519,5.4e-09
1700,0.000542,6.4e-09
1800,0.0006434,4.5e-08
