mass,cross_fb,unc_fb
100,9262.0,2.9
110,6505.0,2.0
120,4726.0,1.4
130,3526.0,0.9700000000000001
140,2691.0,0.75
150,2092.0,0.5199999999999999
160,1653.0,0.44
180,1072.0,0.3
200,725.1,0.17
220,507.1,0.13999999999999999
240,364.4,0.097
250,311.5,0.088
260,267.79999999999995,0.074
280,200.7,0.058
300,153.0,0.053
320,118.2,0.039
340,92.53,0.031
360,73.25,0.022
380,58.54,0.017
400,47.22,0.014
450,28.53,0.0086
500,17.919999999999998,0.0053
550,11.629999999999999,0.0039
600,7.754,0.0027
700,3.6679999999999997,0.0012
800,1.8519999999999999,0.00064
900,0.9833000000000001,0.00037
1000,0.5424,0.00016999999999999999
1100,0.30870000000000003,0.00011
1200,0.18000000000000002,5.8e-05
1300,0.1072,4.2e-05
1400,0.06480999999999999,2.1e-05
1500,0.039740000000000004,1.4999999999999999e-05
1600,0.02465,8.799999999999999e-06
1700,0.015420000000000001,6.1e-06
1800,0.009726,4.1000000000000006e-06
