mass,cross_fb,unc_fb
100,11300.0,3.2
110,8006.0,2.3
120,5860.0,1.8
130,4405.0,1.4
140,3382.0,1.0
150,2646.0,0.61
160,2101.0,0.57
180,1377.0,0.34
200,940.5,0.27
220,664.3,0.17
240,481.8,0.12000000000000001
250,413.7,0.1
260,357.3,0.097
280,270.2,0.06499999999999999
300,207.7,0.063
320,161.8,0.049
340,127.6,0.039
360,101.7,0.032
380,81.9,0.020999999999999998
400,66.51,0.017
450,40.84,0.011
500,26.04,0.0068000000000000005
550,17.14,0.0048
600,11.57,0.003
700,5.603000000000001,0.0015
800,2.886,0.00089
900,1.557,0.00047
1000,0.8704999999999999,0.00025
1100,0.5008,0.00015
1200,0.2947,8e-05
1300,0.1766,5.4e-05
1400,0.1074,4e-05
1500,0.06615,1.9e-05
1600,0.04114,1.6000000000000003e-05
1700,0.02579,9.699999999999999e-06
1800,0.01627,6.699999999999999e-06
