mass,cross_fb,unc_fb
100,7021.0,1.8
110,4896.0,1.5
120,3530.0,1.1
130,2616.0,0.8
140,1981.0,0.48000000000000004
150,1528.0,0.4
160,1199.0,0.31
180,766.9,0.22
200,511.8,0.13999999999999999
220,353.7,0.1
240,251.3,0.07100000000000001
250,213.79999999999998,0.057
260,182.79999999999998,0.045000000000000005
280,135.7,0.033
300,102.4,0.028
320,78.39,0.025
340,60.78,0.016
360,47.68,0.013
380,37.8,0.0099
400,30.24,0.0087
450,17.93,0.0049
500,11.07,0.0029000000000000002
550,7.071,0.002
600,4.643000000000001,0.0013
700,2.14,0.0005600000000000001
800,1.056,0.00032
900,0.5488999999999999,0.00016999999999999999
1000,0.2973,8.6e-05
1100,0.1663,5.3e-05
1200,0.09544,2.8e-05
1300,0.05593,1.6000000000000003e-05
1400,0.03335,1.2e-05
1500,0.02016,5.4e-06
1600,0.01233,4.399999999999999e-06
1700,0.007614,3.1e-06
1800,0.004736,1.9e-06
