mass,width,unc_gev
100,0,0
110,0,0
120,0,0
130,0,0
140,4.42E-09,5.30E-13
150,1.56E-08,1.80E-12
160,3.25E-08,3.60E-12
180,8.42E-08,8.30E-12
200,1.62E-07,1.10E-11
220,2.66E-07,1.80E-11
240,4.00E-07,2.80E-11
250,4.78E-07,3.30E-11
260,5.66E-07,3.90E-11
280,7.66E-07,5.30E-11
300,1.00E-06,6.90E-11
320,1.28E-06,8.90E-11
340,1.60E-06,1.10E-10
360,1.96E-06,1.40E-10
380,2.38E-06,1.60E-10
400,2.84E-06,2.00E-10
450,4.22E-06,2.90E-10
500,5.98E-06,4.10E-10
550,8.14E-06,5.60E-10
600,1.08E-05,7.40E-10
700,1.75E-05,1.20E-09
800,2.65E-05,1.80E-09
900,3.82E-05,2.60E-09
1000,5.27E-05,3.70E-09
1100,7.06E-05,4.90E-09
1200,9.20E-05,6.40E-09
1300,0.0001174,8.10E-09
1400,0.000147,1.00E-08
1500,0.0001812,1.30E-08
1600,0.0002202,1.50E-08
1700,0.0002645,1.80E-08
1800,0.0003144,2.20E-08
