mass,width,unc_gev
100,0,0
110,1.39E-08,1.70E-12
120,3.37E-08,4.30E-12
130,5.91E-08,5.70E-12
140,8.99E-08,1.10E-11
150,1.26E-07,1.20E-11
160,1.67E-07,1.40E-11
180,2.65E-07,1.80E-11
200,3.87E-07,2.70E-11
220,5.34E-07,3.70E-11
240,7.10E-07,4.90E-11
250,8.09E-07,5.60E-11
260,9.17E-07,6.30E-11
280,1.16E-06,8.00E-11
300,1.43E-06,9.90E-11
320,1.75E-06,1.20E-10
340,2.11E-06,1.50E-10
360,2.51E-06,1.70E-10
380,2.96E-06,2.00E-10
400,3.46E-06,2.40E-10
450,4.94E-06,3.40E-10
500,6.78E-06,4.70E-10
550,9.04E-06,6.30E-10
600,1.17E-05,8.10E-10
700,1.87E-05,1.30E-09
800,2.79E-05,1.90E-09
900,3.97E-05,2.70E-09
1000,5.44E-05,3.80E-09
1100,7.24E-05,5.00E-09
1200,9.41E-05,6.50E-09
1300,0.0001196,8.30E-09
1400,0.0001493,1.00E-08
1500,0.0001837,1.30E-08
1600,0.0002229,1.50E-08
1700,0.0002674,1.90E-08
1800,0.0003174,2.20E-08
