mass,width,unc_gev
100,0,0
110,0,0
120,0,0
130,1.38E-09,1.60E-14
140,1.25E-08,1.50E-13
150,3.48E-08,2.50E-12
160,6.86E-08,5.50E-12
180,1.73E-07,2.00E-12
200,3.28E-07,3.90E-12
220,5.39E-07,4.00E-11
240,8.10E-07,9.50E-12
250,9.70E-07,1.10E-11
260,1.15E-06,8.60E-11
280,1.55E-06,1.80E-11
300,2.03E-06,2.40E-11
320,2.60E-06,2.00E-10
340,3.24E-06,2.50E-10
360,3.98E-06,4.70E-11
380,4.82E-06,5.70E-11
400,5.75E-06,6.80E-11
450,8.56E-06,1.00E-10
500,1.21E-05,1.40E-10
550,1.65E-05,1.20E-09
600,2.18E-05,2.60E-10
700,3.55E-05,4.20E-10
800,5.38E-05,6.30E-10
900,7.74E-05,6.10E-09
1000,0.0001069,8.10E-09
1100,0.0001431,1.10E-08
1200,0.0001865,1.40E-08
1300,0.0002379,2.80E-09
1400,0.0002979,2.20E-08
1500,0.0003672,3.00E-08
1600,0.0004464,3.50E-08
1700,0.0005362,4.00E-08
1800,0.0006372,7.50E-09
