mass,width,unc_gev
100,0.0003253,3.40E-08
110,0.0007365,8.40E-08
120,0.001258,1.20E-07
130,0.001887,2.20E-07
140,0.002626,2.50E-07
150,0.003476,3.10E-07
160,0.004445,3.20E-07
180,0.006739,4.70E-07
200,0.009582,6.60E-07
220,0.01303,9.00E-07
240,0.01716,1.20E-06
250,0.0195,1.30E-06
260,0.02202,1.50E-06
280,0.02768,1.90E-06
300,0.0342,2.40E-06
320,0.04164,2.90E-06
340,0.05007,3.50E-06
360,0.05954,4.10E-06
380,0.07012,4.90E-06
400,0.08187,5.70E-06
450,0.1168,8.10E-06
500,0.1603,1.10E-05
550,0.2135,1.50E-05
600,0.2773,1.90E-05
700,0.4406,3.10E-05
800,0.6578,4.60E-05
900,0.9367,6.50E-05
1000,1.285,8.90E-05
1100,1.71,0.00012
1200,2.221,0.00015
1300,2.823,0.0002
1400,3.526,0.00024
1500,4.337,0.0003
1600,5.264,0.00036
1700,6.314,0.00044
1800,7.495,0.00052
