mass,width,unc_gev
100,8.34E-09,9.80E-14
110,3.41E-08,4.00E-13
120,7.34E-08,5.50E-12
130,1.24E-07,1.50E-12
140,1.86E-07,2.60E-12
150,2.57E-07,3.00E-12
160,3.40E-07,4.00E-12
180,5.38E-07,4.50E-11
200,7.84E-07,9.20E-12
220,1.08E-06,1.30E-11
240,1.44E-06,1.70E-11
250,1.64E-06,2.40E-11
260,1.86E-06,2.20E-11
280,2.35E-06,1.80E-10
300,2.91E-06,3.40E-11
320,3.55E-06,3.00E-10
340,4.27E-06,5.00E-11
360,5.09E-06,6.00E-11
380,6.00E-06,7.10E-11
400,7.01E-06,5.50E-10
450,1.00E-05,7.60E-10
500,1.38E-05,1.00E-09
550,1.83E-05,1.40E-09
600,2.38E-05,2.80E-10
700,3.78E-05,4.50E-10
800,5.65E-05,6.60E-10
900,8.04E-05,9.50E-10
1000,0.0001103,1.30E-09
1100,0.0001468,1.10E-08
1200,0.0001906,2.70E-09
1300,0.0002424,1.80E-08
1400,0.0003027,3.60E-09
1500,0.0003723,4.40E-09
1600,0.0004519,5.40E-09
1700,0.000542,6.40E-09
1800,0.0006434,4.50E-08
