mass,cross_pb,unc_pb
100,7021,1.8
120,3530,1.1
140,1981,0.48
160,1199,0.31
180,766.9,0.22
200,511.8,0.14
220,353.7,0.1
240,251.3,0.071
250,213.8,0.057
260,182.8,0.045
280,135.7,0.033
300,102.4,0.028
320,78.39,0.025
340,60.78,0.016
360,47.68,0.013
380,37.8,0.0099
400,30.24,0.0087
450,17.93,0.0049
500,11.07,0.0029
550,7.071,0.002
600,4.643,0.0013
700,2.14,0.00056
800,1.056,0.00032
900,0.5489,0.00017
1000,0.2973,8.60E-05
1100,0.1663,5.30E-05
1200,0.09544,2.80E-05
1300,0.05593,1.60E-05
1400,0.03335,1.20E-05
1500,0.02016,5.40E-06
1600,0.01233,4.40E-06
1700,0.007614,3.10E-06
1800,0.004736,1.90E-06
